Incident Type,Institution,date,Incidents,Prison.Type
Administration of Discipline - Temporary Confinement End-of-Month Count,Big Muddy River,2020-10-01,3,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Big Muddy River,2020-11-01,3,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Big Muddy River,2020-12-01,2,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Big Muddy River,2021-01-01,1,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Big Muddy River,2021-02-01,8,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Big Muddy River,2021-03-01,7,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Big Muddy River,2021-04-01,0,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Big Muddy River,2021-05-01,2,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Big Muddy River,2021-06-01,5,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Centralia,2020-07-01,2,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Centralia,2020-08-01,0,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Centralia,2020-09-01,0,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Centralia,2020-10-01,1,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Centralia,2020-11-01,6,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Centralia,2020-12-01,2,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Centralia,2021-01-01,3,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Centralia,2021-02-01,6,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Centralia,2021-03-01,0,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Centralia,2021-04-01,7,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Centralia,2021-05-01,2,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Centralia,2021-06-01,8,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Danville,2020-07-01,9,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Danville,2020-08-01,9,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Danville,2020-09-01,7,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Danville,2020-10-01,10,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Danville,2020-11-01,10,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Danville,2020-12-01,3,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Danville,2021-01-01,6,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Danville,2021-02-01,6,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Danville,2021-03-01,7,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Danville,2021-04-01,9,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Danville,2021-05-01,2,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Danville,2021-06-01,3,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Dixon,2020-07-01,10,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Dixon,2020-08-01,12,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Dixon,2020-09-01,3,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Dixon,2020-10-01,5,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Dixon,2020-11-01,15,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Dixon,2020-12-01,16,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Dixon,2021-01-01,13,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Dixon,2021-02-01,7,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Dixon,2021-03-01,11,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Dixon,2021-04-01,18,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Dixon,2021-05-01,20,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Dixon,2021-06-01,11,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Graham,2020-07-01,2,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Graham,2020-08-01,6,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Graham,2020-09-01,2,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Graham,2020-10-01,2,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Graham,2020-11-01,1,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Graham,2020-12-01,2,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Graham,2021-01-01,2,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Graham,2021-02-01,5,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Graham,2021-03-01,5,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Graham,2021-04-01,3,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Graham,2021-05-01,2,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Graham,2021-06-01,1,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Hill,2020-07-01,3,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Hill,2020-08-01,6,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Hill,2020-09-01,5,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Hill,2020-10-01,3,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Hill,2020-11-01,5,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Hill,2020-12-01,7,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Hill,2021-01-01,11,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Hill,2021-02-01,15,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Hill,2021-03-01,10,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Hill,2021-04-01,5,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Hill,2021-05-01,6,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Hill,2021-06-01,7,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Illinois River,2020-07-01,0,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Illinois River,2020-08-01,5,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Illinois River,2020-09-01,2,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Illinois River,2020-10-01,4,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Illinois River,2020-11-01,10,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Illinois River,2020-12-01,4,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Illinois River,2021-01-01,5,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Illinois River,2021-02-01,7,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Illinois River,2021-03-01,1,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Illinois River,2021-04-01,4,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Illinois River,2021-05-01,0,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Illinois River,2021-06-01,4,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Lawrence,2020-07-01,21,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Lawrence,2020-08-01,6,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Lawrence,2020-09-01,11,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Lawrence,2020-10-01,4,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Lawrence,2020-11-01,3,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Lawrence,2020-12-01,18,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Lawrence,2021-01-01,7,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Lawrence,2021-02-01,18,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Lawrence,2021-03-01,5,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Lawrence,2021-04-01,5,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Lawrence,2021-05-01,5,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Lawrence,2021-06-01,8,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Pinckneyville,2020-07-01,10,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Pinckneyville,2020-08-01,10,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Pinckneyville,2020-09-01,9,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Pinckneyville,2020-10-01,20,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Pinckneyville,2020-11-01,8,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Pinckneyville,2020-12-01,16,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Pinckneyville,2021-01-01,5,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Pinckneyville,2021-02-01,15,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Pinckneyville,2021-03-01,6,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Pinckneyville,2021-04-01,5,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Pinckneyville,2021-05-01,6,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Pinckneyville,2021-06-01,2,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Shawnee,2020-07-01,1,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Shawnee,2020-08-01,2,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Shawnee,2020-09-01,0,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Shawnee,2020-10-01,3,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Shawnee,2020-11-01,1,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Shawnee,2020-12-01,0,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Shawnee,2021-01-01,1,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Shawnee,2021-02-01,0,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Shawnee,2021-03-01,1,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Shawnee,2021-04-01,0,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Shawnee,2021-05-01,0,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Shawnee,2021-06-01,0,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Sheridan,2020-07-01,4,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Sheridan,2020-08-01,10,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Sheridan,2020-09-01,1,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Sheridan,2020-10-01,0,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Sheridan,2020-11-01,2,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Sheridan,2020-12-01,1,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Sheridan,2021-01-01,2,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Sheridan,2021-02-01,1,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Sheridan,2021-03-01,0,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Sheridan,2021-04-01,4,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Sheridan,2021-05-01,1,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Sheridan,2021-06-01,7,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Western Illinois,2020-07-01,13,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Western Illinois,2020-08-01,9,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Western Illinois,2020-09-01,10,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Western Illinois,2020-10-01,8,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Western Illinois,2020-11-01,15,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Western Illinois,2020-12-01,9,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Western Illinois,2021-01-01,12,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Western Illinois,2021-02-01,7,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Western Illinois,2021-03-01,8,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Western Illinois,2021-04-01,3,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Western Illinois,2021-05-01,11,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Western Illinois,2021-06-01,19,Medium Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Decatur (Female),2020-07-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Decatur (Female),2020-08-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Decatur (Female),2020-09-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Decatur (Female),2020-10-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Decatur (Female),2020-11-01,2,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Decatur (Female),2020-12-01,1,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Decatur (Female),2021-01-01,1,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Decatur (Female),2021-02-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Decatur (Female),2021-03-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Decatur (Female),2021-04-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Decatur (Female),2021-05-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Decatur (Female),2021-06-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,East Moline,2020-07-01,7,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,East Moline,2020-08-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,East Moline,2020-09-01,11,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,East Moline,2020-10-01,3,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,East Moline,2020-11-01,7,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,East Moline,2020-12-01,3,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,East Moline,2021-01-01,3,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,East Moline,2021-02-01,4,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,East Moline,2021-03-01,2,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,East Moline,2021-04-01,4,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,East Moline,2021-05-01,1,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,East Moline,2021-06-01,1,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Elgin,2020-07-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Elgin,2020-08-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Elgin,2020-09-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Elgin,2020-10-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Elgin,2020-11-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Elgin,2020-12-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Elgin,2021-01-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Elgin,2021-02-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Elgin,2021-03-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Elgin,2021-04-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Elgin,2021-05-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Elgin,2021-06-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Jacksonville,2020-07-01,2,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Jacksonville,2020-08-01,2,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Jacksonville,2020-09-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Jacksonville,2020-10-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Jacksonville,2020-11-01,3,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Jacksonville,2020-12-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Jacksonville,2021-01-01,3,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Jacksonville,2021-02-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Jacksonville,2021-03-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Jacksonville,2021-04-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Jacksonville,2021-05-01,1,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Jacksonville,2021-06-01,2,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Kewanee,2020-07-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Kewanee,2020-08-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Kewanee,2020-09-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Kewanee,2020-10-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Kewanee,2020-11-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Kewanee,2020-12-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Kewanee,2021-01-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Kewanee,2021-02-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Kewanee,2021-03-01,2,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Kewanee,2021-04-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Kewanee,2021-05-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Kewanee,2021-06-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Joliet,2020-07-01,8,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Joliet,2020-08-01,13,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Joliet,2020-09-01,12,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Joliet,2020-10-01,7,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Joliet,2020-11-01,9,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Joliet,2020-12-01,9,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Joliet,2021-01-01,18,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Joliet,2021-02-01,2,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Joliet,2021-03-01,7,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Joliet,2021-04-01,8,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Joliet,2021-05-01,4,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Joliet,2021-06-01,4,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Lincoln,2020-07-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Lincoln,2020-08-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Lincoln,2020-09-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Lincoln,2020-10-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Lincoln,2020-11-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Lincoln,2020-12-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Lincoln,2021-01-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Lincoln,2021-02-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Lincoln,2021-03-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Lincoln,2021-04-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Lincoln,2021-05-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Lincoln,2021-06-01,6,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Robinson,2020-07-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Robinson,2020-08-01,1,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Robinson,2020-09-01,1,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Robinson,2020-10-01,1,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Robinson,2020-11-01,2,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Robinson,2020-12-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Robinson,2021-01-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Robinson,2021-02-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Robinson,2021-03-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Robinson,2021-04-01,1,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Robinson,2021-05-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Robinson,2021-06-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Southwestern Illinois,2020-07-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Southwestern Illinois,2020-08-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Southwestern Illinois,2020-09-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Southwestern Illinois,2020-10-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Southwestern Illinois,2020-11-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Southwestern Illinois,2020-12-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Southwestern Illinois,2021-01-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Southwestern Illinois,2021-02-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Southwestern Illinois,2021-03-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Southwestern Illinois,2021-04-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Southwestern Illinois,2021-05-01,1,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Southwestern Illinois,2021-06-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Taylorville,2020-07-01,1,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Taylorville,2020-08-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Taylorville,2020-09-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Taylorville,2020-10-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Taylorville,2020-11-01,1,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Taylorville,2020-12-01,1,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Taylorville,2021-01-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Taylorville,2021-02-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Taylorville,2021-03-01,1,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Taylorville,2021-04-01,1,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Taylorville,2021-05-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Taylorville,2021-06-01,2,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Vandalia,2020-07-01,1,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Vandalia,2020-08-01,3,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Vandalia,2020-09-01,4,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Vandalia,2020-10-01,2,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Vandalia,2020-11-01,8,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Vandalia,2020-12-01,4,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Vandalia,2021-01-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Vandalia,2021-02-01,3,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Vandalia,2021-03-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Vandalia,2021-04-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Vandalia,2021-05-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Vandalia,2021-06-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Vienna,2020-07-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Vienna,2020-08-01,4,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Vienna,2020-09-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Vienna,2020-10-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Vienna,2020-11-01,3,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Vienna,2020-12-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Vienna,2021-01-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Vienna,2021-02-01,1,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Vienna,2021-03-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Vienna,2021-04-01,1,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Vienna,2021-05-01,0,Minimum Security
Administration of Discipline - Temporary Confinement End-of-Month Count,Vienna,2021-06-01,2,Minimum Security
Administration of Discipline - Investigative Status Placements,Logan (Female),2020-07-01,12,Maximum Security
Administration of Discipline - Investigative Status Placements,Logan (Female),2020-08-01,17,Maximum Security
Administration of Discipline - Investigative Status Placements,Logan (Female),2020-09-01,14,Maximum Security
Administration of Discipline - Investigative Status Placements,Logan (Female),2020-10-01,3,Maximum Security
Administration of Discipline - Investigative Status Placements,Logan (Female),2020-11-01,21,Maximum Security
Administration of Discipline - Investigative Status Placements,Logan (Female),2020-12-01,7,Maximum Security
Administration of Discipline - Investigative Status Placements,Logan (Female),2021-01-01,11,Maximum Security
Administration of Discipline - Investigative Status Placements,Logan (Female),2021-02-01,4,Maximum Security
Administration of Discipline - Investigative Status Placements,Logan (Female),2021-03-01,9,Maximum Security
Administration of Discipline - Investigative Status Placements,Logan (Female),2021-04-01,5,Maximum Security
